Beginning of Month Date|End of Month Date|sector_id|Sector|Commercial Property Price Index (CPPI)|CPRI
01/02/2005|01/01/2005|100|GS Universe|72.28192962|63.79769827
01/02/2005|01/01/2005|101|GS Major Sector|72.44609815|64.51205708
01/03/2005|01/02/2005|1|Apartment|73.1981999|65.03292227
01/03/2005|01/02/2005|4|Health Care||
01/03/2005|01/02/2005|5|Lodging|69.83968746|62.26196928
01/03/2005|01/02/2005|6|Industrial|78.31308099|68.13547604
01/03/2005|01/02/2005|7|Mall|80.38189469|70.97944794
01/03/2005|01/02/2005|8|Manufactured Home Park|90.16512006|77.43868606
01/03/2005|01/02/2005|9|Office|60.48229564|55.33682096
01/03/2005|01/02/2005|10|Self-Storage|74.99091219|65.73746072
01/03/2005|01/02/2005|11|Strip Center|80.42870995|71.6988929
01/03/2005|01/02/2005|13|Retail|80.65337328|71.81070389
01/03/2005|01/02/2005|100|GS Universe|73.23692502|64.91885965
01/03/2005|01/02/2005|101|GS Major Sector|72.6801247|64.99436451
01/04/2005|01/03/2005|1|Apartment|73.14908495|65.28017749
01/04/2005|01/03/2005|4|Health Care||
01/04/2005|01/03/2005|5|Lodging|70.13763834|62.83050453
01/04/2005|01/03/2005|6|Industrial|78.22779899|68.37013391
01/04/2005|01/03/2005|7|Mall|80.84952853|71.68077023
01/04/2005|01/03/2005|8|Manufactured Home Park|91.90365003|79.30175898
01/04/2005|01/03/2005|9|Office|61.26844945|56.26098909
01/04/2005|01/03/2005|10|Self-Storage|75.09349894|66.18191678
01/04/2005|01/03/2005|11|Strip Center|83.62161271|74.86212088
01/04/2005|01/03/2005|13|Retail|82.48889067|73.74955215
01/04/2005|01/03/2005|100|GS Universe|73.9444545|65.82869485
01/04/2005|01/03/2005|101|GS Major Sector|73.29783682|65.82216854
01/05/2005|01/04/2005|1|Apartment|73.35057722|65.75220667
01/05/2005|01/04/2005|4|Health Care||
01/05/2005|01/04/2005|5|Lodging|70.13763834|63.12624333
01/05/2005|01/04/2005|6|Industrial|78.25384349|68.70262026
01/05/2005|01/04/2005|7|Mall|80.60339678|71.75356631
01/05/2005|01/04/2005|8|Manufactured Home Park|91.90365003|79.67279692
01/05/2005|01/04/2005|9|Office|61.57431201|56.74640303
01/05/2005|01/04/2005|10|Self-Storage|77.31457426|68.49580974
01/05/2005|01/04/2005|11|Strip Center|83.94395274|75.46786379
01/05/2005|01/04/2005|13|Retail|82.52231626|74.08537098
01/05/2005|01/04/2005|100|GS Universe|74.21924357|66.35614236
01/05/2005|01/04/2005|101|GS Major Sector|73.45331726|66.23808654
01/06/2005|01/05/2005|1|Apartment|76.45777768|68.83149453
01/06/2005|01/05/2005|4|Health Care||
01/06/2005|01/05/2005|5|Lodging|71.81083751|64.92929385
01/06/2005|01/05/2005|6|Industrial|78.13735337|68.91154109
01/06/2005|01/05/2005|7|Mall|81.81036185|73.12029252
01/06/2005|01/05/2005|8|Manufactured Home Park|92.44710277|80.51669907
01/06/2005|01/05/2005|9|Office|62.88184799|58.15712131
01/06/2005|01/05/2005|10|Self-Storage|78.51630765|69.9179132
01/06/2005|01/05/2005|11|Strip Center|86.38245887|77.97872911
01/06/2005|01/05/2005|13|Retail|84.33877021|76.02337605
01/06/2005|01/05/2005|23|Health Care - Medical Office||
01/06/2005|01/05/2005|25|Health Care - Skilled Nursing||
01/06/2005|01/05/2005|31|Health Care - Senior Housing (NNN)||
01/06/2005|01/05/2005|32|Health Care - Senior Housing (RIDEA)||
01/06/2005|01/05/2005|100|GS Universe|75.85091338|68.09906288
01/06/2005|01/05/2005|101|GS Major Sector|74.99802389|67.90880606
01/07/2005|01/06/2005|1|Apartment|76.42925275|69.10335799
01/07/2005|01/06/2005|4|Health Care|76.88374926|66.71039839
01/07/2005|01/06/2005|5|Lodging|71.81083751|65.2338999
01/07/2005|01/06/2005|6|Industrial|79.84069008|70.72730227
01/07/2005|01/06/2005|7|Mall|81.78503291|73.39350612
01/07/2005|01/06/2005|8|Manufactured Home Park|92.44710277|80.89342149
01/07/2005|01/06/2005|9|Office|64.07121512|59.46370637
01/07/2005|01/06/2005|10|Self-Storage|78.51630765|70.2827783
01/07/2005|01/06/2005|11|Strip Center|86.38125398|78.29885718
01/07/2005|01/06/2005|13|Retail|84.32512615|76.32145689
01/07/2005|01/06/2005|23|Health Care - Medical Office|79.241833|70.29338871
01/07/2005|01/06/2005|25|Health Care - Skilled Nursing|86.03490993|70.69427796
01/07/2005|01/06/2005|31|Health Care - Senior Housing (NNN)|74.9209778|64.8291085
01/07/2005|01/06/2005|32|Health Care - Senior Housing (RIDEA)|72.11041027|63.83829123
01/07/2005|01/06/2005|100|GS Universe|76.37958094|68.86115111
01/07/2005|01/06/2005|101|GS Major Sector|75.75135506|68.87117966
01/08/2005|01/07/2005|1|Apartment|76.44243513|69.41411844
01/08/2005|01/07/2005|4|Health Care|76.88374926|67.07516879
01/08/2005|01/07/2005|5|Lodging|71.81083751|65.54011412
01/08/2005|01/07/2005|6|Industrial|79.99135423|71.17503532
01/08/2005|01/07/2005|7|Mall|81.75976675|73.66789824
01/08/2005|01/07/2005|8|Manufactured Home Park|92.44710277|81.27190653
01/08/2005|01/07/2005|9|Office|64.3010678|59.88392421
01/08/2005|01/07/2005|10|Self-Storage|78.51630765|70.64954745
01/08/2005|01/07/2005|11|Strip Center|86.52155492|78.74857097
01/08/2005|01/07/2005|13|Retail|84.3805814|76.68330447
01/08/2005|01/07/2005|23|Health Care - Medical Office|79.241833|70.65300838
01/08/2005|01/07/2005|25|Health Care - Skilled Nursing|86.03490993|71.19656817
01/08/2005|01/07/2005|31|Health Care - Senior Housing (NNN)|74.9209778|65.19721628
01/08/2005|01/07/2005|32|Health Care - Senior Housing (RIDEA)|72.11041027|64.14420969
01/08/2005|01/07/2005|100|GS Universe|76.45999912|69.23654881
01/08/2005|01/07/2005|101|GS Major Sector|75.87075113|69.2609104
01/09/2005|01/08/2005|1|Apartment|80.08029608|73.01764898
01/09/2005|01/08/2005|4|Health Care|79.78697561|69.97477585
01/09/2005|01/08/2005|5|Lodging|77.26766334|70.82827146
01/09/2005|01/08/2005|6|Industrial|80.91313978|72.3112534
01/09/2005|01/08/2005|7|Mall|84.44158573|76.38262898
01/09/2005|01/08/2005|8|Manufactured Home Park|94.21414093|83.20559738
01/09/2005|01/08/2005|9|Office|66.62055404|62.25184767
01/09/2005|01/08/2005|10|Self-Storage|82.69123649|74.77486206
01/09/2005|01/08/2005|11|Strip Center|88.44155413|80.81997702
01/09/2005|01/08/2005|13|Retail|86.70071826|79.10477069
01/09/2005|01/08/2005|18|Lab Space|73.74755295|64.38213797
01/09/2005|01/08/2005|23|Health Care - Medical Office|82.74990681|74.1423103
01/09/2005|01/08/2005|25|Health Care - Skilled Nursing|86.4618953|72.0557709
01/09/2005|01/08/2005|31|Health Care - Senior Housing (NNN)|78.08388918|68.31982115
01/09/2005|01/08/2005|32|Health Care - Senior Housing (RIDEA)|75.52086234|67.48528583
01/09/2005|01/08/2005|100|GS Universe|79.32022313|72.1309306
01/09/2005|01/08/2005|101|GS Major Sector|78.19773541|71.66766824
01/10/2005|01/09/2005|13|Retail|86.71180438|79.43095523
01/10/2005|01/09/2005|31|Health Care - Senior Housing (NNN)|78.08388918|68.69184819
01/10/2005|01/09/2005|32|Health Care - Senior Housing (RIDEA)|75.52086234|67.79529641
01/10/2005|01/09/2005|100|GS Universe|79.29023057|72.41243442
01/10/2005|01/09/2005|101|GS Major Sector|78.08122842|71.84548453
01/10/2005|01/09/2005|1|Apartment|80.12836867|73.36553656
01/10/2005|01/09/2005|4|Health Care|79.78697561|70.34503877
01/10/2005|01/09/2005|5|Lodging|77.13484398|71.03646343
01/10/2005|01/09/2005|6|Industrial|80.01349035|71.82458547
01/10/2005|01/09/2005|7|Mall|84.43936502|76.68194654
01/10/2005|01/09/2005|8|Manufactured Home Park|94.21414093|83.58940886
01/10/2005|01/09/2005|9|Office|66.91574473|62.73534488
01/10/2005|01/09/2005|10|Self-Storage|82.69123649|75.15617092
01/10/2005|01/09/2005|11|Strip Center|88.46649747|81.1697852
01/10/2005|01/09/2005|18|Lab Space|73.74755295|64.71420874
01/10/2005|01/09/2005|23|Health Care - Medical Office|82.74990681|74.50618046
01/10/2005|01/09/2005|25|Health Care - Skilled Nursing|86.4618953|72.56773465
01/11/2005|01/10/2005|1|Apartment|82.05197848|75.43213738
01/11/2005|01/10/2005|4|Health Care|79.78697561|70.7172609
01/11/2005|01/10/2005|5|Lodging|78.54728739|72.65879262
01/11/2005|01/10/2005|6|Industrial|79.76831144|71.92355387
01/11/2005|01/10/2005|7|Mall|84.55742879|77.09167975
01/11/2005|01/10/2005|8|Manufactured Home Park|94.21414093|83.9749908
01/11/2005|01/10/2005|9|Office|66.85566548|62.88716511
01/11/2005|01/10/2005|10|Self-Storage|82.69123649|75.53942425
01/11/2005|01/10/2005|11|Strip Center|88.63649027|81.65412033
01/11/2005|01/10/2005|13|Retail|86.85573548|79.88014601
01/11/2005|01/10/2005|18|Lab Space|73.74755295|65.04799228
01/11/2005|01/10/2005|23|Health Care - Medical Office|82.74990681|74.87183639
01/11/2005|01/10/2005|25|Health Care - Skilled Nursing|86.4618953|73.08333597
01/11/2005|01/10/2005|31|Health Care - Senior Housing (NNN)|78.08388918|69.06590107
01/11/2005|01/10/2005|32|Health Care - Senior Housing (RIDEA)|75.52086234|68.10673111
01/11/2005|01/10/2005|100|GS Universe|79.70534917|73.10089621
01/11/2005|01/10/2005|101|GS Major Sector|78.50490548|72.52121987
01/12/2005|01/11/2005|1|Apartment|82.89732858|76.51515683
01/12/2005|01/11/2005|4|Health Care|80.60205543|71.81387893
01/12/2005|01/11/2005|5|Lodging|78.44928684|72.90074548
01/12/2005|01/11/2005|6|Industrial|81.51045088|73.81400656
01/12/2005|01/11/2005|7|Mall|84.85697881|77.66844526
01/12/2005|01/11/2005|8|Manufactured Home Park|94.77125627|84.85891964
01/12/2005|01/11/2005|9|Office|67.10496741|63.33027747
01/12/2005|01/11/2005|10|Self-Storage|84.19942785|77.30238261
01/12/2005|01/11/2005|11|Strip Center|89.20284504|82.50571418
01/12/2005|01/11/2005|13|Retail|87.28706963|80.59550609
01/12/2005|01/11/2005|18|Lab Space|75.76088352|67.15932733
01/12/2005|01/11/2005|23|Health Care - Medical Office|83.16058893|75.61087066
01/12/2005|01/11/2005|25|Health Care - Skilled Nursing|88.27755828|75.13731961
01/12/2005|01/11/2005|31|Health Care - Senior Housing (NNN)|78.47141418|69.78476014
01/12/2005|01/11/2005|32|Health Care - Senior Housing (RIDEA)|76.081006|68.92474897
01/12/2005|01/11/2005|100|GS Universe|80.38381258|74.03438162
01/12/2005|01/11/2005|101|GS Major Sector|79.30639478|73.54818008
01/01/2006|01/12/2005|13|Retail|89.64031058|83.09076784
01/01/2006|01/12/2005|31|Health Care - Senior Housing (NNN)|78.47141418|70.16476433
01/01/2006|01/12/2005|32|Health Care - Senior Housing (RIDEA)|76.081006|69.24137208
01/01/2006|01/12/2005|100|GS Universe|81.09422306|75.00292097
01/01/2006|01/12/2005|101|GS Major Sector|80.18944675|74.65633267
01/01/2006|01/12/2005|1|Apartment|83.25414313|77.15488481
01/01/2006|01/12/2005|4|Health Care|80.60205543|72.19175527
01/01/2006|01/12/2005|5|Lodging|78.46237483|73.24661478
01/01/2006|01/12/2005|6|Industrial|81.72594353|74.33187762
01/01/2006|01/12/2005|7|Mall|89.45796151|82.18734259
01/01/2006|01/12/2005|8|Manufactured Home Park|94.77125627|85.25035758
01/01/2006|01/12/2005|9|Office|67.81835538|64.21253892
01/01/2006|01/12/2005|10|Self-Storage|84.19942785|77.69658038
01/01/2006|01/12/2005|11|Strip Center|89.17600726|82.81418016
01/01/2006|01/12/2005|18|Lab Space|75.76088352|67.49847629
01/01/2006|01/12/2005|23|Health Care - Medical Office|83.16058893|75.98194811
01/01/2006|01/12/2005|25|Health Care - Skilled Nursing|88.27755828|75.66180941
01/02/2006|01/01/2006|1|Apartment|84.06009949|78.21474352
01/02/2006|01/01/2006|4|Health Care|81.53419346|73.40649545
01/02/2006|01/01/2006|5|Lodging|83.1583116|77.96766505
01/02/2006|01/01/2006|6|Industrial|83.1073657|75.91316566
01/02/2006|01/01/2006|7|Mall|89.4617234|82.49922297
01/02/2006|01/01/2006|8|Manufactured Home Park|94.77125627|85.64360115
01/02/2006|01/01/2006|9|Office|67.54643873|64.16392165
01/02/2006|01/01/2006|10|Self-Storage|84.19942785|78.09278833
01/02/2006|01/01/2006|11|Strip Center|89.25779335|83.22488545
01/02/2006|01/01/2006|13|Retail|89.68330132|83.45446067
01/02/2006|01/01/2006|18|Lab Space|76.77102864|68.73931761
01/02/2006|01/01/2006|23|Health Care - Medical Office|84.25914361|77.35857125
01/02/2006|01/01/2006|25|Health Care - Skilled Nursing|88.27755828|76.18996037
01/02/2006|01/01/2006|31|Health Care - Senior Housing (NNN)|79.52425068|71.48822549
01/02/2006|01/01/2006|32|Health Care - Senior Housing (RIDEA)|77.17200296|70.55236672
01/02/2006|01/01/2006|100|GS Universe|81.86221512|76.02937483
01/02/2006|01/01/2006|101|GS Major Sector|80.65161637|75.37732698
01/03/2006|01/02/2006|1|Apartment|89.45367825|83.55065134
01/03/2006|01/02/2006|4|Health Care|82.0088758|74.2155388
01/03/2006|01/02/2006|5|Lodging|83.05455804|78.22899639
01/03/2006|01/02/2006|6|Industrial|87.04996521|79.84169346
01/03/2006|01/02/2006|7|Mall|90.163918|83.45634832
01/03/2006|01/02/2006|8|Manufactured Home Park|95.33166598|86.54509395
01/03/2006|01/02/2006|9|Office|70.43771461|67.12021922
01/03/2006|01/02/2006|10|Self-Storage|88.84560301|82.80022383
01/03/2006|01/02/2006|11|Strip Center|89.78123147|84.0492894
01/03/2006|01/02/2006|13|Retail|90.29823494|84.35190353
01/03/2006|01/02/2006|18|Lab Space|77.34044487|69.59134551
01/03/2006|01/02/2006|23|Health Care - Medical Office|84.67731597|78.11678112
01/03/2006|01/02/2006|25|Health Care - Skilled Nursing|88.71567376|77.09992359
01/03/2006|01/02/2006|31|Health Care - Senior Housing (NNN)|79.9189241|72.2263544
01/03/2006|01/02/2006|32|Health Care - Senior Housing (RIDEA)|77.74439325|71.39476122
01/03/2006|01/02/2006|100|GS Universe|84.24437454|78.56124982
01/03/2006|01/02/2006|101|GS Major Sector|83.90317073|78.70899278
01/04/2006|01/03/2006|13|Retail|90.33267447|84.71314842
01/04/2006|01/03/2006|31|Health Care - Senior Housing (NNN)|79.9189241|72.61365017
01/04/2006|01/03/2006|32|Health Care - Senior Housing (RIDEA)|77.74439325|71.71767383
01/04/2006|01/03/2006|100|GS Universe|84.78742992|79.38909839
01/04/2006|01/03/2006|101|GS Major Sector|84.76625526|79.81311118
01/04/2006|01/03/2006|1|Apartment|89.53789023|83.95010994
01/04/2006|01/03/2006|4|Health Care|82.0088758|74.60142493
01/04/2006|01/03/2006|5|Lodging|83.00385242|78.53076262
01/04/2006|01/03/2006|6|Industrial|88.41741093|81.42423345
01/04/2006|01/03/2006|7|Mall|90.08551949|83.6975508
01/04/2006|01/03/2006|8|Manufactured Home Park|95.33166598|86.94430989
01/04/2006|01/03/2006|9|Office|72.13633053|68.94768952
01/04/2006|01/03/2006|10|Self-Storage|88.84560301|83.20142797
01/04/2006|01/03/2006|11|Strip Center|89.92778193|84.52627107
01/04/2006|01/03/2006|18|Lab Space|77.34044487|69.93777034
01/04/2006|01/03/2006|23|Health Care - Medical Office|84.67731597|78.49473415
01/04/2006|01/03/2006|25|Health Care - Skilled Nursing|88.71567376|77.63811319
01/05/2006|01/04/2006|1|Apartment|88.60702635|83.39933983
01/05/2006|01/04/2006|4|Health Care|82.0088758|74.9893175
01/05/2006|01/04/2006|5|Lodging|87.13917899|82.79390963
01/05/2006|01/04/2006|6|Industrial|87.06459553|80.50826098
01/05/2006|01/04/2006|7|Mall|90.11843044|84.04310776
01/05/2006|01/04/2006|8|Manufactured Home Park|95.33166598|87.34536734
01/05/2006|01/04/2006|9|Office|72.22243483|69.23832989
01/05/2006|01/04/2006|10|Self-Storage|88.67375465|83.44364492
01/05/2006|01/04/2006|11|Strip Center|90.01141906|84.94671964
01/05/2006|01/04/2006|12|Student Housing|92.06157404|85.94104217
01/05/2006|01/04/2006|13|Retail|90.39118195|85.09871249
01/05/2006|01/04/2006|18|Lab Space|77.34044487|70.28591967
01/05/2006|01/04/2006|23|Health Care - Medical Office|84.67731597|78.87451583
01/05/2006|01/04/2006|25|Health Care - Skilled Nursing|88.71567376|78.18005957
01/05/2006|01/04/2006|31|Health Care - Senior Housing (NNN)|79.9189241|73.00302272
01/05/2006|01/04/2006|32|Health Care - Senior Housing (RIDEA)|77.74439325|72.04204695
01/05/2006|01/04/2006|100|GS Universe|84.86889914|79.78829396
01/05/2006|01/04/2006|101|GS Major Sector|84.26072375|79.632668
01/06/2006|01/05/2006|1|Apartment|89.57335683|84.63181217
01/06/2006|01/05/2006|4|Health Care|83.5511669|76.78950545
01/06/2006|01/05/2006|5|Lodging|87.03045866|83.05642569
01/06/2006|01/05/2006|6|Industrial|87.66894288|81.3988216
01/06/2006|01/05/2006|7|Mall|91.02595874|85.20560702
01/06/2006|01/05/2006|8|Manufactured Home Park|96.10526031|88.45706216
01/06/2006|01/05/2006|9|Office|73.58151419|70.75019101
01/06/2006|01/05/2006|10|Self-Storage|89.78655075|84.89512846
01/06/2006|01/05/2006|11|Strip Center|91.96883426|87.13791626
01/06/2006|01/05/2006|12|Student Housing|92.29099099|86.53320228
01/06/2006|01/05/2006|13|Retail|91.82915627|86.78482141
01/06/2006|01/05/2006|18|Lab Space|79.01362998|72.15636942
01/06/2006|01/05/2006|23|Health Care - Medical Office|86.23675464|80.70870786
01/06/2006|01/05/2006|25|Health Care - Skilled Nursing|89.79279189|79.67499168
01/06/2006|01/05/2006|31|Health Care - Senior Housing (NNN)|81.40778956|74.75450748
01/06/2006|01/05/2006|32|Health Care - Senior Housing (RIDEA)|79.47684597|73.97326905
01/06/2006|01/05/2006|100|GS Universe|85.9788807|81.15777105
01/06/2006|01/05/2006|101|GS Major Sector|85.36819364|80.97624764
01/07/2006|01/06/2006|4|Health Care|83.5511669|77.18334874
01/07/2006|01/06/2006|5|Lodging|87.03045866|83.41842908
01/07/2006|01/06/2006|6|Industrial|87.67326852|81.73803208
01/07/2006|01/06/2006|7|Mall|90.31732483|84.86265478
01/07/2006|01/06/2006|8|Manufactured Home Park|96.10526031|88.86509765
01/07/2006|01/06/2006|9|Office|73.58151419|70.96327499
01/07/2006|01/06/2006|10|Self-Storage|89.78655075|85.30580955
01/07/2006|01/06/2006|11|Strip Center|92.4615218|87.95188804
01/07/2006|01/06/2006|12|Student Housing|92.73842431|87.33332143
01/07/2006|01/06/2006|18|Lab Space|79.01362998|72.51037279
01/07/2006|01/06/2006|23|Health Care - Medical Office|86.23675464|81.09359875
01/07/2006|01/06/2006|25|Health Care - Skilled Nursing|89.79279189|80.226741
01/07/2006|01/06/2006|1|Apartment|89.95089014|85.31995973
01/07/2006|01/06/2006|13|Retail|91.71768251|87.01550385
01/07/2006|01/06/2006|31|Health Care - Senior Housing (NNN)|81.40778956|75.14914587
01/07/2006|01/06/2006|32|Health Care - Senior Housing (RIDEA)|79.47684597|74.30260427
01/07/2006|01/06/2006|100|GS Universe|86.02554189|81.53192062
01/07/2006|01/06/2006|101|GS Major Sector|85.43329137|81.33999732
01/08/2006|01/07/2006|1|Apartment|89.99733871|85.69564534
01/08/2006|01/07/2006|4|Health Care|83.5511669|77.579212
01/08/2006|01/07/2006|5|Lodging|90.29958306|86.91545605
01/08/2006|01/07/2006|6|Industrial|87.45043868|81.86685998
01/08/2006|01/07/2006|7|Mall|90.41519142|85.27647266
01/08/2006|01/07/2006|8|Manufactured Home Park|96.10526031|89.27501532
01/08/2006|01/07/2006|9|Office|74.40288543|71.96914525
01/08/2006|01/07/2006|10|Self-Storage|89.78655075|85.71847731
01/08/2006|01/07/2006|11|Strip Center|92.51976725|88.35535671
01/08/2006|01/07/2006|12|Student Housing|92.73842431|87.71541178
01/08/2006|01/07/2006|13|Retail|91.79626295|87.42724835
01/08/2006|01/07/2006|18|Lab Space|79.01362998|72.86611292
01/08/2006|01/07/2006|23|Health Care - Medical Office|86.23675464|81.48032515
01/08/2006|01/07/2006|25|Health Care - Skilled Nursing|89.79279189|80.78231118
01/08/2006|01/07/2006|31|Health Care - Senior Housing (NNN)|81.40778956|75.54586761
01/08/2006|01/07/2006|32|Health Care - Senior Housing (RIDEA)|79.47684597|74.63340571
01/08/2006|01/07/2006|100|GS Universe|86.45705993|82.27214695
01/08/2006|01/07/2006|101|GS Major Sector|85.64675257|81.84604869
01/09/2006|01/08/2006|1|Apartment|94.38910725|90.21074365
01/09/2006|01/08/2006|4|Health Care|85.63198515|79.90919398
01/09/2006|01/08/2006|5|Lodging|91.18309046|88.14438634
01/09/2006|01/08/2006|6|Industrial|90.02771981|84.6166316
01/09/2006|01/08/2006|7|Mall|91.01571684|86.16591026
01/09/2006|01/08/2006|8|Manufactured Home Park|96.88513217|90.41126988
01/09/2006|01/08/2006|9|Office|75.20045397|72.95465637
01/09/2006|01/08/2006|10|Self-Storage|90.77601324|87.07777301
01/09/2006|01/08/2006|11|Strip Center|93.01035883|89.17356527
01/09/2006|01/08/2006|12|Student Housing|92.8845156|88.23735232
01/09/2006|01/08/2006|13|Retail|92.34448969|88.28799043
01/09/2006|01/08/2006|18|Lab Space|82.43155584|76.37559847
01/09/2006|01/08/2006|23|Health Care - Medical Office|88.44065859|83.95124238
01/09/2006|01/08/2006|25|Health Care - Skilled Nursing|89.91729418|81.45373749
01/09/2006|01/08/2006|31|Health Care - Senior Housing (NNN)|83.51543486|77.900564
01/09/2006|01/08/2006|32|Health Care - Senior Housing (RIDEA)|81.86943881|77.21246449
01/09/2006|01/08/2006|100|GS Universe|88.14980873|84.21660259
01/09/2006|01/08/2006|101|GS Major Sector|87.68004949|84.09302356
01/10/2006|01/09/2006|13|Retail|92.37125927|88.65593406
01/10/2006|01/09/2006|31|Health Care - Senior Housing (NNN)|83.51543486|78.30209758
01/10/2006|01/09/2006|32|Health Care - Senior Housing (RIDEA)|81.86943881|77.54801705
01/10/2006|01/09/2006|100|GS Universe|88.5060607|84.89530261
01/10/2006|01/09/2006|101|GS Major Sector|88.02154021|84.72941988
01/10/2006|01/09/2006|1|Apartment|94.36707382|90.53219598
01/10/2006|01/09/2006|4|Health Care|85.63198515|80.31132138
01/10/2006|01/09/2006|5|Lodging|92.58411106|89.88091361
01/10/2006|01/09/2006|6|Industrial|90.00505389|84.93741111
01/10/2006|01/09/2006|7|Mall|91.07319707|86.54728628
01/10/2006|01/09/2006|8|Manufactured Home Park|96.88513217|90.82831975
01/10/2006|01/09/2006|9|Office|76.38668528|74.32249793
01/10/2006|01/09/2006|10|Self-Storage|90.77601324|87.49901267
01/10/2006|01/09/2006|11|Strip Center|93.00554411|89.52214575
01/10/2006|01/09/2006|12|Student Housing|92.61966771|88.37218774
01/10/2006|01/09/2006|18|Lab Space|82.43155584|76.73656763
01/10/2006|01/09/2006|23|Health Care - Medical Office|88.44065859|84.34285492
01/10/2006|01/09/2006|25|Health Care - Skilled Nursing|89.91729418|82.02006156
01/11/2006|01/10/2006|1|Apartment|94.35804821|90.86735709
01/11/2006|01/10/2006|4|Health Care|85.63198515|80.7154724
01/11/2006|01/10/2006|5|Lodging|92.58411106|90.26490482
01/11/2006|01/10/2006|6|Industrial|90.90499741|86.13015956
01/11/2006|01/10/2006|7|Mall|91.14595667|86.94460582
01/11/2006|01/10/2006|8|Manufactured Home Park|96.88513217|91.2472934
01/11/2006|01/10/2006|9|Office|77.67163734|75.78991769
01/11/2006|01/10/2006|10|Self-Storage|90.77601324|87.92229008
01/11/2006|01/10/2006|11|Strip Center|93.17155451|90.03653598
01/11/2006|01/10/2006|12|Student Housing|92.61966771|88.76042278
01/11/2006|01/10/2006|13|Retail|92.4905967|89.1141405
01/11/2006|01/10/2006|18|Lab Space|82.43155584|77.09924281
01/11/2006|01/10/2006|23|Health Care - Medical Office|88.44065859|84.73629423
01/11/2006|01/10/2006|25|Health Care - Skilled Nursing|89.91729418|82.59032313
01/11/2006|01/10/2006|31|Health Care - Senior Housing (NNN)|83.51543486|78.70570085
01/11/2006|01/10/2006|32|Health Care - Senior Housing (RIDEA)|81.86943881|77.88502786
01/11/2006|01/10/2006|100|GS Universe|88.89620606|85.60938274
01/11/2006|01/10/2006|101|GS Major Sector|88.63806015|85.632998
01/12/2006|01/11/2006|1|Apartment|96.87897408|93.640153
01/12/2006|01/11/2006|4|Health Care|88.88287894|84.18590276
01/12/2006|01/11/2006|5|Lodging|95.18495776|93.1868146
01/12/2006|01/11/2006|6|Industrial|91.4487886|86.99025454
01/12/2006|01/11/2006|7|Mall|92.12082795|88.20428569
01/12/2006|01/11/2006|8|Manufactured Home Park|97.67133252|92.40865028
01/12/2006|01/11/2006|9|Office|82.73510221|80.9484952
01/12/2006|01/11/2006|10|Self-Storage|91.77637438|89.3165279
01/12/2006|01/11/2006|11|Strip Center|93.92697799|91.12247387
01/12/2006|01/11/2006|12|Student Housing|92.81528395|89.33782878
01/12/2006|01/11/2006|13|Retail|93.36017446|90.29710327
01/12/2006|01/11/2006|18|Lab Space|86.73108352|81.48503293
01/12/2006|01/11/2006|23|Health Care - Medical Office|92.02242595|88.56331277
01/12/2006|01/11/2006|25|Health Care - Skilled Nursing|90.36354755|83.57443968
01/12/2006|01/11/2006|31|Health Care - Senior Housing (NNN)|86.94753069|82.3458226
01/12/2006|01/11/2006|32|Health Care - Senior Housing (RIDEA)|85.67945573|81.8480948
01/12/2006|01/11/2006|100|GS Universe|91.37617595|88.33922608
01/12/2006|01/11/2006|101|GS Major Sector|91.01557711|88.24137082
01/01/2007|01/12/2006|13|Retail|92.9887722|90.28702568
01/01/2007|01/12/2006|31|Health Care - Senior Housing (NNN)|86.94753069|82.75315651
01/01/2007|01/12/2006|32|Health Care - Senior Housing (RIDEA)|85.67945573|82.1892991
01/01/2007|01/12/2006|100|GS Universe|90.93509974|88.26060665
01/01/2007|01/12/2006|101|GS Major Sector|90.26207726|87.82853594
01/01/2007|01/12/2006|1|Apartment|95.27718961|92.44631661
01/01/2007|01/12/2006|4|Health Care|88.88287894|84.59612625
01/01/2007|01/12/2006|5|Lodging|93.33278752|91.77169368
01/01/2007|01/12/2006|6|Industrial|91.16351332|87.0674511
01/01/2007|01/12/2006|7|Mall|91.84509146|88.27449391
01/01/2007|01/12/2006|8|Manufactured Home Park|97.67133252|92.83491368
01/01/2007|01/12/2006|9|Office|81.95047077|80.402861
01/01/2007|01/12/2006|10|Self-Storage|95.67867691|93.54630819
01/01/2007|01/12/2006|11|Strip Center|93.46080645|91.02960343
01/01/2007|01/12/2006|12|Student Housing|92.79684552|89.71272137
01/01/2007|01/12/2006|18|Lab Space|86.73108352|81.85256715
01/01/2007|01/12/2006|23|Health Care - Medical Office|92.02242595|88.96106971
01/01/2007|01/12/2006|25|Health Care - Skilled Nursing|90.36354755|84.15550838
01/02/2007|01/01/2007|1|Apartment|95.37059813|92.89363539
01/02/2007|01/01/2007|4|Health Care|88.88287894|85.00834868
01/02/2007|01/01/2007|5|Lodging|93.33278752|92.16872219
01/02/2007|01/01/2007|6|Industrial|91.43922408|87.6808519
01/02/2007|01/01/2007|7|Mall|91.91104634|88.67348706
01/02/2007|01/01/2007|8|Manufactured Home Park|97.67133252|93.26314336
01/02/2007|01/01/2007|9|Office|87.71550257|86.28238456
01/02/2007|01/01/2007|10|Self-Storage|95.67867691|93.97879302
01/02/2007|01/01/2007|11|Strip Center|94.21592176|92.1260715
01/02/2007|01/01/2007|12|Student Housing|92.79684552|90.10709499
