sector_id|market_id|Sector|Market|Commentary|Strength #1|Strength #2|Strength #3|Weakness #1|Weakness #2|Weakness #3
6|154|Industrial|Boston|Boston: The market continues to attract an outsized share of knowledge-based workers as employers are drawn to a well-educated population anchored by a top university system. Employers like Amazon, Foundation Medicine, Klaviyo, and Google are expanding in or relocating to Boston, bringing thousands of high-paying jobs to the metro. Millennial population continues to grow as recent graduates chase these high-paying jobs. In addition to in-migration, apartment demand is supported by some of the highest home prices across top markets, delaying homeownership for many renters. A healthy demand backdrop combined with an average supply pipeline will help the city overcome short-term struggles brought on by the pandemic, leaving Boston among the strongest gateway markets for intermediate growth potential. Healthy demand can be found in Boston’s downtown submarkets given a desirable lifestyle and proximity to work. Investors should be aware of the “Imagine Boston 2030” master plan and its aim to make the market more affordable by ‘30 through increased mixed-use development which will add apartment inventory to the metro. Solid long-term growth prospects, should provide investors with attractive risk-adjusted returns relative to most metros.|Wealthy population base aids the outlook for further ecommerce growth |Long-term return expectations are boosted by above-average long-term growth prospects|Demand is aided by local biomanufacturing as life science continues to expand in the market|With a primary focus on local distribution, fundamentals have a heavier reliance on the state of the local economy|Functionally obsolete and aging facilities throughout the metro|Low supply barriers in the 495 South submarket with ~2M SF under construction
6|156|Industrial|New Jersey (Central)|New Jersey (Central): The Central New Jersey apartment market has proven a stable but low-growth market this past cycle. The long-term outlook remains underwhelming due to concerning fiscal health trends and sluggish employer growth. The state’s “Grow NJ” program, which provided tax incentives for companies that created or retained jobs in the region, had little success in Central New Jersey and finally expired in July ’19. The state’s concerning fiscal health (debt burden >$200B), which will likely be much worse following Covid-19, should deter investors as property tax increases to raise government funds would cut directly into the bottom line. Green Street estimates that a ~700 bp increase to the median resident’s non-federal tax burden is required to offset the state’s unfunded liabilities, which translates to an ~8% decline in after-tax income. Princeton University’s younger demographic provides steady rental demand for landlords in the Mercer / Princeton submarket, but the metro struggles to keep graduates from relocating to surrounding metros with better job prospects (e.g., New York, D.C., Boston). Stagnant population growth has pressured investors’ ability to push rents, and millennial out-migration forecasts will likely continue to weigh on long-term demand.|Proximity to a large population base and Northern New Jersey intermodal network|More affordable rents  than Northern New Jersey driving tighter occupancies|Strong intermediate- and long-term NOI growth  forecasts supported by robust fundamentals|Development moratorium delayed projects but surge of completions coming in near term|Competes with nearby markets (Philadelphia, Northern NJ) for tenants|Poor state fiscal health could lead to future tax hikes
6|158|Industrial|Charlotte|Charlotte: Strong domestic in-migration and employment growth have provided nice tailwinds for apartment fundamentals. Young adults have flocked to North Carolina’s most populous metro, drawn by Charlotte’s diverse range of employment opportunities, relative affordability compared to other East Coast hubs, and a dynamic live / work / play environment. The quality of job growth has improved in recent years, fueled by the array of employers that operate in Charlotte and those that are choosing to expand in the market (e.g., Lowe’s, U.S. Bank, Honeywell). Developers have been active and there has been a focus on mixed-use development along the LYNX Blue Line metro, with a new delivery at seemingly every stop. In 4Q’19, Charlotte’s City Council voted to spend $50M for a transportation firm to design a 26-mile Silver Line light-rail connecting the East submarket to Uptown and westward into Gaston County, despite ongoing concerns about how the city will fund the ~$4B project. As competition for tenants increases, landlords have been forced to offer more amenitized space to differentiate their product. Supply growth across the metro is showing no signs of slowing, and though absorption has been healthy investors should remain cautious of the elevated supply pipeline over the next 5 years, especially if economic growth remains sluggish in the next few years. Demand in Midtown and Downtown should stack up favorably as young adults have demonstrated a strong propensity to rent in these submarkets. |Strong growth in North Carolina port volume in ’20 demonstrates robust economic activity|Developed rail systems with favorable access to Charlotte airport allows for operational efficiencies|Population growth expected to outpace national average by ~3x through ‘25|Excess supply in Central and Northeast submarkets has led to drop in market occupancy and lower M-RevPAF expectations|Low supply barriers; city approved plans to develop ~1.5 million SF of industrial space in East Charlotte through ‘22|Traffic congestion within key eastern Charlotte industrial submarkets hampers last mile delivery
6|160|Industrial|Chicago|Chicago: The “Capital of the Midwest” exhibits stronger near-term apartment fundamentals than nearby Midwest markets, but Chicago still suffers from concerning long-term demographic and fiscal health trends. Owners are pressured by increasing tax liabilities from reassessed property values as the city / state try to alleviate fiscal woes. Additionally, a November ’20 ballot measure proposes graduated individual income tax rates between 4.95%-7.99%, changing from a current fixed rate of 4.95%. While increasing taxes hurts disposable income and has contributed to some out-migration, the modest silver lining is limited new supply in the market since developers are hesitant of the metro’s higher taxes and rising construction costs. Investors should be aware of the $6B Lincoln Yards master plan, which will phase in ~6k apartment units to the Lincoln Park / Old Town submarket over the intermediate term. In addition to fiscal issues, the metro suffers from millennial out-migration and unattractive employment trends, losing share to markets with higher-paying job opportunities. The wealthy population that resides in the Glencoe / Wilmette submarket, which falls outside of city limits (and thus outside of Chicago’s fiscal issues), pay some of the highest nominal rents across the market. Landlords have been able to consistently push rent in this submarket despite overall metro headwinds.|International logistics hub – 6 Class 1 railroads, robust highway system, and O’Hare airport|Strong income growth should bolster ecommerce demand|~25% of the U.S. population and select Canadian cities are in range of 1-day drive|Limited supply barriers promote speculative development, weighing on occupancies|Mid-pack going-in yields and subpar long-term growth drive poor return expectations|CPPI appreciation lags top market average as investors look to markets with healthier fiscal and demographic trends
6|161|Industrial|Cincinnati|Cincinnati: Cincinnati’s growth is broadly driven by its exposure to a few large corporate headquarters, including Kroger, Proctor & Gamble, and Macy’s. While large companies have helped propel job growth this last cycle, primarily in the finance, insurance, and real estate (FIRE) sectors, a troubled manufacturing industry and lackluster population growth will likely weigh on apartment demand. Proximity to Columbus’ more stable job market hurts Cincinnati’s ability to attract young talent and prevent millennials from migrating. Very affordable single-family housing has also resulted in one of the highest homeownership rates relative to the top markets, which limits an investor’s ability to push apartment rents. One positive for the metro is Proctor and Gamble’s and Kroger’s strong quarterly earnings and forward-guidance in late ‘19, both of whom were facing challenges over the past few years. Despite an encouraging trajectory early in the year for P&G and Kroger, Covid-19 has disrupted future hiring plans for two of Cincinnati’s largest employers. In addition, Macy’s plans to slash ~3,900 corporate and management jobs as part of a restructuring plan will likely further dampen apartment fundamentals. Limited demand tailwinds, affordable homes, underwhelming demographics, and lagging population growth restrict the metro’s long-term NOI growth potential.	|The stronghold of CVG as a cargo-focused airport supports increased national distribution|A tax friendly environment promotes business activity|Slightly higher land constraints than other Midwest markets|Amazon’s presence has drawn more development interest, especially in Northern Kentucky and I-75 North|Vacancy rates are higher than other neighboring markets|Weak demographic trends (e.g., population growth)
6|162|Industrial|Cleveland|Cleveland: A lack of young talent and weak job growth point to a continuation of poor apartment fundamentals. Once a manufacturing powerhouse, Cleveland has failed to redefine itself as globalization and technological innovation continue to leave many Rust Belt cities behind. The city suffers from significant out-migration, which is expected to continue over the next 5 years led by a decline in young adults who are relocating for better opportunities. Cleveland’s lone bright spot and best hope for reversing momentum remains in health care. The Case Western Reserve University Medical School and the Cleveland Clinic are large providers of high-paying jobs and economic activity. Investments in the life sciences is underway at the Cleveland Clinic’s research centers that may help generate some growth. However, it remains doubtful that the health care sector’s job growth in isolation will be able to resuscitate the local economy.  The Downtown submarket is demonstrating emerging strength due to a modernization effort by the Downtown Cleveland Alliance to create an innovation district. Despite development initiatives to generate an increasingly vibrant downtown area, Cleveland still struggles to compete with more desirable Midwest markets.	|Amazon increased its presence in Northeast Ohio, including two leases in 2Q’20 (~603k SF) in Greater Cleveland|Better Human Capital score in the East submarket could aid ecommerce demand|Central location benefits transportation of goods to the rest of the U.S.|Competition for tenants from other Midwest and Ohio markets, particularly Cincinnati  |Reliance on a struggling manufacturing industry|Low supply barriers, particularly in the Portage County submarket, stifle rent growth potential
6|168|Industrial|Denver|Denver: Denver continues to attract jobs from a diverse set of employment bases. YoY TAMI job growth  has been trending at an average of ~4% each month since the beginning of ’19. TAMI growth is supported by the in-migration of several startups and small tech firms, along with tech giants such as Facebook, Netflix, Amazon, and Apple. High-quality job opportunities, coupled with Denver’s desirable quality of life and access to nature, have attracted many young residents, making “The Mile-High City” a hot spot for millennial migration. Millennial demand has skyrocketed in trendy neighborhoods such as the LoHi / Highlands neighborhood in the Golden / Wheatridge submarket, and the RiNo Arts District in the Northeast submarket. Demand in the Downtown submarket is bolstered by the walkable, urban environment. Continued interest from affluent, highly-compensated millennials in these submarkets should allow for strong rent growth potential. The market’s low initial investment yields are offset by solid long-term growth, driving above-average risk-adjusted returns.|Metro forecasted to have economic growth above the national average through ‘25|Density of young, high earning workforce improves ecommerce demand; growth opportunities for distribution|The Central 70 project will increase flow on a major arterial highway and will be completed in ‘22|Transport is dependent on only two interstates and airport; no access to seaport|Standalone market with no nearby metros reduces distribution attractiveness |Low barriers to supply in parts of the market with greenfield, undeveloped land
6|169|Industrial|Detroit|Detroit: Optimism in the “Motor City” is fading as employment figures weaken and investment in the market is failing to provide substantial and sustainable improvement. Economic growth is expected to lag the rest of the Midwest through the intermediate term, even with substantial investments from billionaire Dan Gilbert and national automotive companies. The metro is hindered by continued dependence on stagnating industries and fails to make a meaningful economic shift toward higher-growth industries. TAMI jobs have seen consistent net outflow for years, and overall employment growth in Detroit ranks among the lowest across top markets (~35% of the population lives below the poverty line). The lack of well-paying jobs hampers in-migration as new graduates and millennials choose more desirable markets that offer better compensation to start their careers. Tepid demand from minimal population and job growth mixed with low supply barriers provide a weak intermediate-term outlook for the apartment sector. Additionally, rising construction costs are leading developers to rethink their plans or ditch them all together as rents cannot keep up with increasing development costs. This is exemplified in projects like the East Jefferson Meijer, originally planned as a 213-unit mixed-use apartment / small-format grocer development that was abandoned in favor of a larger-format grocery store and parking lot. While the market has improved substantially since its bankruptcy in ‘13, the outlook still looks bleak.|Solid interstate infrastructure enables efficient distribution; access to ~33% of U.S. population in a 1-day drive|Larger blue-collar labor base makes the metro more attractive for ecommerce|Amazon’s growing presence serves to validate the market|Significant dependence on the auto / manufacturing industries which accounts for a large portion of industrial stock|Lack of Class A stock, aging inventory, and harsh winters may cause additional capital expenditures|Long-term outlook dampened by the effects of continued out-migration, lack of job growth, and minimal supply barriers
6|171|Industrial|Fairfield County|Fairfield County: Statewide fiscal concerns and tepid job growth continue to suppress apartment fundamentals in Fairfield County. Outsized municipal debt and unfunded liabilities have forced higher tax rates, a major determinant for several corporate HQ departures over the past few years (e.g., GE to Boston, Starwood to Miami). Fairfield County has not been able to attract any large relocations to backfill those gaps left behind. Meanwhile, the metro continues to face the headwinds of a shift from active to passive investment management, though FIRE employment improved in '18 after 22 consecutive months of YoY job declines. The market serves as a suburban living alternative to Manhattan which attracts more families looking to live in homes than rent apartments. Millennial population growth continues to decelerate as more prefer to live closer to Manhattan-based jobs.  While limited new construction will support apartment rent growth, unfavorable demographics and fiscal health issues should handcuff long-term NOI growth.|Favorable supply dynamics; little new stock|Affluent and ecommerce-utilizing population|Old average age makes new properties more desirable|Little institutional interest; not known as an industrial market|Concerning statewide fiscal health|Scope of industrial reach limited; mostly local demand
6|172|Industrial|Fort Lauderdale|Fort Lauderdale: Moderate job and population growth paired with middle-of-the-pack supply growth create a mixed outlook for Fort Lauderdale apartments. While tourism has historically been the primary economic growth driver, Fort Lauderdale’s economy is diversifying with a promising life sciences sector and steady job growth in the FIRE and professional / business services industries. The Fort Lauderdale, Plantation, and Miramar / Pembroke Pines submarkets have seen the most supply as developers seek opportunity north of Miami. Las Olas Boulevard in the Fort Lauderdale submarket has attracted significant development due to its walkable lifestyle and downtown feel. Las Olas Walk, a mixed-use development, will add ~1,200 luxury rental units to the submarket by late '20. For favorable demographics and a limited supply pipeline, investors should look to the Davie submarket, which boasts the wealthiest and most educated residents in the metro.  While Fort Lauderdale’s coastal location and steady job growth support a healthy rent profile, the market’s outlook is moderated by condo oversupply in the near term and a lack of meaningful supply barriers over the long term. |$400M effort to deepen and widen channels at Port Everglades underway and to be complete by ’25|Southeast Broward submarket benefits from coastal supply barriers, access to I-95, and a dense population|Strong population growth to support healthy ecommerce demand|Hurricane risk heightens cap-ex burden, insurance costs|Job growth concentrated in low-wage industries|Low interstate connectivity and lack of major airport cargo hub weakens industrial demand
6|177|Industrial|Houston|Houston: After being impacted heavily by the energy bust in ’15, Houston’s economy is still recovering. A silver lining of the energy recession is a slightly more diversified economy; the health care sector has seen growth, exemplified by Texas Medical Center becoming the world’s largest medical complex. Petrochemical manufacturing and other downstream energy activities have also experienced outsized growth. Although Houston has diversified its economy in recent years, the 1Q’20 collapse in oil prices and Covid-19 pandemic have presented additional challenges for the market. A large amount of supply was delivered directly into the energy recession and is still being absorbed by the market, as evidenced by below-average occupancy rates. Now, given the current uncertain economic environment, the already-present vacancy rate troubles will likely be prolonged. The current supply pipeline, while not massive, is large enough to continue to put downward pressure on intermediate-term M-RevPAF growth. A lack of zoning laws and a sprawling metroplex provide little regulatory or physical barriers to entry, suppressing long-term growth. Investors should look west towards the Montrose / River Oaks and Museum submarkets where there are higher incomes, more expensive housing, and elevated rents, but in aggregate expect below-average long-term returns, as higher going in yields are offset by lackluster long-term NOI growth potential.|Demand for industrial assets is supported by trade activity from one of the busiest ports in the country|Northeast and Southeast submarkets have access to over 20 interstates and docks along the Port of Houston|Leasing activity extending to large buildings as an effect of a growing population base |Lack of adequate zoning laws result in low barriers for supply|Large supply of available land along the outskirts of the market|Regional assets are sensitive to crude oil prices
6|178|Industrial|Indianapolis|Indianapolis: The capital of the “Hoosier State” has little to offer apartment investors in terms of long-term rent growth, as structural headwinds stemming from poor demographics and minimal supply constraints create a challenging environment. The job growth occurring is largely seen in the warehouse and manufacturing sectors which, combined with an outflow of high-paying TAMI jobs, limits income growth potential. While a quicker Covid-19 recovery is expected in Indianapolis over the next few years, the market should revert to below-average long-term growth relative to other top markets. Rent growth is constrained by affordable homeownership options available throughout the metro, and despite low regulatory and physical barriers, supply growth screens below average. Most of the development occurring in the metro can be found in the Downtown and Southwest submarkets. Meanwhile, the surrounding suburban submarkets exhibit the highest median incomes in the metro and have had more success in attracting investors (e.g., Spruce Capital, who purchased a ~1k unit suburban portfolio in early ’20). Though strong intermediate-term growth and high going-in yields screen attractive on the surface, affordable home prices allow renters to quickly transition into homeowners, hurting long-term rent growth potential.|FedEx’s secondary air hub at the airport attracts national distributors|Investors drawn to the pro-business environment that boasts low taxes|A strong freeway system allows ease of distribution throughout the United States |Flat topography, expansive land availability limits market rent growth |Competition from other Midwest markets|Weak demographics limit the benefits of last-mile ecommerce demand
6|179|Industrial|Jacksonville|Jacksonville: While healthy population and job growth bode well for apartment demand in Jacksonville, supply growth concerns weigh heavily on long-term rent growth potential. The Southside submarket is seeing the bulk of oncoming supply as it has both cheap land for development and is home to a younger and more educated population. The Arlington and Downtown submarkets are also seeing significant supply growth, particularly as the city and developers try to revitalize downtown to attract and retain more residents.  Notable developments include the District, a $600M mixed-use development on the Southbank that will add ~1k residential units, a hotel, and a marina to the metro. Near the Southbank, San Marco is seeing substantial development with ~800 units to be added by '21. Investors should look to the Beaches submarket, which benefits from the market’s highest rents and limited supply along the coast. Strong population and employment growth will help Jacksonville weather the upcoming recession reasonably well, leading to above-average near-term M-RevPAF growth; however, the lack of any meaningful barriers to supply outside of the coast restrains long-term rent growth potential.   |Tax environment / affordability encouraging demand|JAXPORT’s diverse business mix has steadily grown, benefitting from overall east coast market shift|~$75M JAXPORT expansion project expected for completion in ‘23|Poor interstate connections throughout the market hampers industrial delivery|Smaller millennial population and unfavorable population density an unfavorable backdrop for ecommerce penetration|Robust near-term development pipeline, with considerable expansion in Northside Jacksonville
6|180|Industrial|Kansas City|Kansas City: A shallower trough in Covid-induced job losses versus most markets and solid expected intermediate growth are bright spots for Kansas City, but the metro’s longer-term return prospects continue to be hampered by structural headwinds. While the market’s supply pipeline remains below-average, new units will likely struggle to be absorbed in the face of subpar income and population growth. Employers such as the USDA and CarMax have chosen to establish new operations within the market, attracted by low costs of living and doing business. Existing companies such as Cerner, Garmin, and Burns McDonnel have all announced that they are expanding their footprint in the metro with plans to add over 18k combined jobs in the next few years (~3% expansion of the existing non-farm workforce). While hiring by these companies and efforts to improve local transportation infrastructure may help the metro recover from the Covid-19 fallout more quickly over the intermediate term, the metro’s continued inability to draw high-paying employers results in unfavorable long-term growth, driving below-average risk-adjusted returns.|Manufacturing sectors make up ~10% of local GDP, with heavy influence from large automotive production|Future KCI Intermodal BusinessCentre will create strong distribution access along with tax benefits |Strong intermodal transportation network; highest amounts of rail traffic of any metro|Low barriers to supply |Low density and income levels lead to less overall online spending; local last-mile demand should be relatively muted|Landlocked nature does not offer any opportunity for large scale shipping traffic, no port access
6|182|Industrial|Las Vegas|Las Vegas: Above-average job growth has bolstered Las Vegas apartment fundamentals in recent years, but this trend has dramatically reversed with Covid-19’s outsized hit on the hospitality and leisure industries. The market now faces all-time high levels of unemployment, among the worst of the top markets. The economy’s heavy reliance on the tourism and hospitality industries has proven to be an extreme risk, and its health will greatly depend on the future progression of the virus and the availability of a vaccine. Though jobs are expected to return in the future, and the Allegiant Stadium completion is expected to create ~1.2k new jobs, apartment demand will continue to face long-term fundamental headwinds created by a cheap single-family market that incentivizes homeownership and lower-paying job growth. As residents continue to migrate from California, many immediately look at investing in a home as housing prices are very affordable relative to the high-cost, West Coast markets. A strong focus on single family development has kept apartment supply in check, a positive for owners, but very low going-in yields combined with an uncertain path of recovery over the long-term limit investors’ return potential.|Strong population growth fuels local ecommerce demand|Short distances to interstates within the market makes for efficient local distribution channels|No corporate income tax has created a business-friendly environment|Despite recent population growth, demand is still heavily dependent on tourism traffic|One of the largest supply pipelines of the top markets with construction primarily concentrated in the North submarket|No seaport access (too far to LA / LB) and poor interstate connectivity to other top markets hinders mass distribution
6|185|Industrial|Long Island|Long Island: After underwhelming job growth through much of the recent upcycle, Long Island’s local economy was one of the worst performers among the top  markets following the onset of the recession. The health care and education sectors, which have historically been a bright spot for job growth, experienced net declines throughout 1H’20, though the metro’s large government sector (~15% of jobs) held up relatively well. Long Island’s apartment demand generally benefits from New York City spillover, but this effect may be limited in the near term as the city grapples with economic fallout from the pandemic. It remains to be seen if tech growth in NYC will continue at its recent pace given the city’s fiscal issues and the acceleration in working from home, but already-announced expansions in ’19 (e.g., Google, Facebook, and Amazon) will provide incremental apartment demand. However, this will largely be confined to NYC’s urban core and Long Island submarkets in close proximity to Manhattan (i.e., Hempstead). Nearly 30% of Long Island’s population is between the ages of 45-64, among the highest across the top markets. As such, the region will likely never be a top destination for apartment investors due to its older, homeowning demographic, but a light supply pipeline should mitigate the job loss impact on rent growth to an extent.|Dense, affluent population base drives last-mile demand|Strict regulations limit supply growth; tilts supply-demand dynamic in landlords’ favor|Fundamentals less sensitive to economic downturns|Poor geographic location relative to NE peers; lacks multi-modal infrastructure to be a strong distribution market|Aging stock may become obsolete; limits tenant base|Concerning employment and population trends
6|186|Industrial|Los Angeles|Los Angeles: The LA apartment market is comprised of many cities across a vast geographic area and contains some of the highest barrier-to-entry submarkets in the nation (e.g., Santa Monica, Malibu Hills). Demand for housing in LA continues to exceed available supply, putting pressure on renters in a high-barrier, landlord-favored market. In 2H’19, AB 1482 was enacted by Governor Newsom implementing statewide rent control for renewal offers on apartments older than 15 years. The law will be in effect from January ’20 until January ‘30. Additionally, Prop 21, a measure to repeal the Costa-Hawkins Rental Housing Act, will appear on the November ’20 ballot (a similar ballot measure failed in ’18), reigniting concern amongst landlords that local governments may be able to enact more restrictive forms of rent control. Prospective investors should look west of the I-405 freeway, known as the Westside, for the strongest long-term rent growth potential as these highly desirable and supply-constrained submarkets are supported by healthy demographics and solid high-paying job growth. Los Angeles is one of the most highly regulated markets in the U.S., as geographical barriers, NIMBYism, and elevated construction costs keep supply in check. Tight supply dynamics and robust demand will continue to contribute to strong long-term NOI growth for the market.|Proximity to Ports of LA and Long Beach, ranked as the #1 and #2 container ports in the U.S., respectively|Vital distribution hub for the Western U.S. due to its access to the LA / Long Beach Ports, LAX airport, and critical freeways|LA's scarcity of land and high population density supports one of the strongest LT industrial outlooks nationwide|Majority of the inventory is older and built on smaller footprints with lower clear heights|Local and state policies tend to be unfavorable to business|High rents may cause industrial users to relocate to the nearby, comparable Inland Empire 
6|187|Industrial|Louisville|Louisville: With a regional focus and high employment concentration in manufacturing and other traditionally low-growth industries, Louisville’s economic prospects remain muted as compared with its Midwest peers. Some job growth has occurred in the metro, but mainly in the low-wage manufacturing and wholesale sectors; employment growth in the higher-paying TAMI and FIRE industries has been virtually nonexistent. A lack of demand stemming from minimal job growth is exacerbated by the metro’s relatively less desirable lifestyle, evident by minimal millennial population inflow. Demand headwinds and lack of  supply barriers limit a landlord’s ability to push rent. Additionally, the market’s low cost of living  drives homeownership relative to other metros, further hindering long-term rent growth. Like much of the Midwest, high going-in yields appear attractive, but there is little upside as the metro’s underwhelming outlook over the intermediate and long term limit return expectations.|UPS’ Worldhub presence has helped to revive the metro into a productive logistics hub|Central location allows for access to ~35% of the U.S. population in a 1-day drive, boosting industrial fundamentals|Supply barriers higher than neighboring Midwest, Southeast metros due to topography|Grim demographics relative to the top markets; below-average median income and poor education levels|Lack of exposure to TAMI and FIRE sectors which typically brings higher-paying jobs to the metro|Near-and long-term outlook dampened by the effects of limited job growth and minimal supply barriers
6|188|Industrial|Memphis|Memphis: The Memphis economy continues to miss out on the wave of growth in the technology and professional services industries that has propelled other southern metros. Concentrated in the trade and manufacturing sectors, Memphis’s undiversified and stagnant economy establishes a low ceiling on rent growth as high-paying jobs are few and far between. One of the few strengths of the markets lies in its low cash flow volatility, bolstered in part by a handful of Fortune 500 HQs. As the economy continues to find its footing amidst an on-going recession, Memphis’s low tech exposure contributes to a near-term M-RevPAF growth prospect that is expected to slightly outperform our top market average. TAMI and FIRE employment bases in Memphis are small and growing at a meager pace. Demographics in the ‘Home of Blues’ also bode poorly, as population growth significantly lags that of other southern metros and low-to-middle income households comprise a larger share of the market than the national average. Poor market fundamentals and struggling demographics, compounded by an active supply pipeline, present headwinds that render Memphis’ return profile among the least attractive in the country.|Sophisticated intermodal infrastructure allows access to air, rail, road, and river|Favorable incentives offered to businesses to operate in Memphis (e.g., tax, training, utility, and financing)|Central hub for distribution of goods for the Southeastern US|Aggressive tax abatements for new development encourage new supply, limit market rent growth for existing properties|Lack of employment and income growth expectations limits potential demand for last-mile assets|Low barriers to supply have increased the number of speculative projects
6|189|Industrial|Miami|Miami: Miami’s business-friendly environment and cultural amenities support healthy demographics and long-term apartment fundamentals. Since '13, Miami has seen domestic out-migration, largely to other Florida metros, as some residents are priced out of the growing city; however, international immigrants and high-earners seeking low taxes have driven steady per-capita income growth (average income of a person moving to Miami has exceeded those leaving). Miami’s low-tax environment has also attracted a growing tech / finance presence and solid job growth in the metro. Elevated supply, largely in the Downtown, Opa-Locka, and Miami Beach submarkets, remains a concern but is outweighed by strong demand growth, resulting in a healthy near-term M-RevPAF growth forecast. In the Downtown submarket, the trendy Wynwood and the Design District neighborhoods are seeing notable supply in response to their popularity with millennials, while Little Haiti has been pegged as the next neighborhood to gentrify. Investors should also take note of Miami Worldcenter, a mixed-use project that will add ~1.9k new apartment units to the Downtown submarket by '21. Brickell remains a favorite submarket for its central location and strong demographics while Coral Gables stands out for its minimal supply pipeline. As a desirable metro with favorable demographics, Miami’s long-term rent growth potential for apartments is among the best of our top markets. 	|Substantial investment planned for PortMiami, the nation’s 11th busiest port, to improve transportation access|Dense and wealthy population bodes well for ecommerce demand|MIA is the nation’s top airport for international freight and handles ~80% of air cargo from Latin America|Low highway connectivity relative to top markets|Hurricane and flooding risk increases insurance costs|High traffic congestion in metro
6|191|Industrial|Minneapolis|Minneapolis: Despite a number of large, stable employers, a full construction pipeline is weighing on Minneapolis’ intermediate rent growth outlook. Long-term advantages for the market include an outsized presence of S&P 500 companies and an educated labor force from nearby universities. However, local health care employment growth decelerated meaningfully throughout ’19 and bears watching moving forward. Local housing policy changes are further complicating the picture for apartment investors; Minneapolis’ “2040 Comprehensive Plan” upzones the majority of the city and effectively decreases supply barriers for much of the market. Furthermore, inclusionary zoning efforts are currently underway, intending to mandate that a portion of newly developed units be set aside as affordable housing. Currently, an interim plan is in place with the intention of more robust legislation being enacted. Elevated new supply and tepid employment growth over the coming years result in below-average market rent growth and weak long-term growth estimates.|High levels of disposable income and large millennial presence helps to catalyze ecommerce growth|Investor interest and liquidity are improving, rolling 12-month investment volume in early 3Q’20 at $1.9B|Steady fundamentals with usually rational supply pipelines|Isolated geographic location and lack of cheap warehouse labor reduces demand from national distributors|Lack of supply barriers throughout most of the market limit market rent growth potential|Older industrial age stock and harsh winters may cause additional capital expenditures
6|192|Industrial|Nashville|Nashville: Nashville’s educated workforce, relative affordability, and significant population growth have attracted large companies to the metro. Alliance Bernstein is relocating its global headquarters, which will bring ~1,050 jobs to Nashville, and Amazon plans to bring another ~5,000 jobs to its new downtown operations hub, both of whom began hiring in '19 and will continue to hire through '24. The meaningful job growth over the past couple years has been a positive tailwind for apartment fundamentals. As rents climbed over the past several years during this local economic boom, regulators have altered zoning laws that allow for more developments in the urban core, leading to increased supply. The meaningful new supply is driving below-average M-RevPAF growth expectations despite significant in-migration and job growth. Nashville also benefits from a leading health care industry; 17 publicly traded health care companies are headquartered in the city, which supports high-paying jobs and economic stability. One caution facing apartment demand is the high homeownership rate outside of the Downtown and Airport submarkets.  While a healthy supply pipeline and high homeownership rate pose some threats to apartment fundamentals, the stable health care industry and significant population growth provides investors with solid long-term growth potential.|A high-income and youthful population drives online sales; increasing demand for distribution spaces|Manufacturing demand driven by exposure to automotive manufacturers such as Nissan|The market has grown as a big box distribution hub over the past two decades, competing with other Southeast markets|Intermodal distribution network is weak compared to regional neighbors; hurts access to larger markets|Very low barriers to supply immediately outside the city|Demand for flex industrial poor; market better suited for manufacturing and warehouse space
6|195|Industrial|New York|New York: As the epicenter of the U.S. pandemic, New York faced steep job losses and deteriorating apartment fundamentals in the first half of ‘20. Finance remains the backbone of New York’s economy, and though not immune from layoffs, fared better than most industries in 1H’20. Growing tech interest in the city of late is a bright spot for apartment demand, with Facebook, Google, and Amazon all announcing large-scale expansions in ’19 (>20k jobs collectively). However, it remains to be seen if tech companies will modify pre-COVID plans following the acceleration in working from home. NYC would be a relative loser to lower-cost metros in a world where remote working becomes widely adopted. New York’s budget deficits worsened following the pandemic, and now require an estimated  ~600 bps increase to the median renter’s tax burden to cover the shortfall, which could accelerate recent outmigration. Asking rents fell precipitously in 1H’20 (~-10% YoY) and leasing activity was accompanied by a notable rise in concessions (~50% of new leases included concessions as of June ‘20). Just as investors began to wrap their heads around the expansive rent control laws passed in June ’19 by the state, transaction markets froze in 2Q’20 due to uncertainty surrounding asset prices, which have likely fallen double-digits.. A favorable supply outlook remains a silver lining for NYC, but apartment investors face significant headwinds in the coming years and a less-favorable long-term outlook in a post-COVID world. |Proximity to a dense, affluent population base|Limited development as high land cost and burdensome zoning restrictions help ensure supply-demand imbalance|Strong risk-adjusted returns supported by robust “last mile” demand over the long term|Aging infrastructure and inventory limits modern-day delivery technologies|Competition from better national shipping hubs (e.g., Lehigh Valley, Northern New Jersey)|Demand for modern, multi-story space still questionable, limited to select tenants thus far (e.g., Amazon, FedEx)
